,name,store_num,address,state,zip,phone,latitude,longitude,formatted_address,accuracy
0,114 Grocery & Deli Incorporated,1,"114 Cozine Ave Brooklyn,",NY,11207,(718) 257-8775,40.6541285,-73.8866072,"114 Cozine Ave, Brooklyn, NY 11207, USA",ROOFTOP
1,1st Oriental Supermarket,1,"5132 W Colonial Dr Orlando,",FL,32808,(407) 292-3965,28.55033,-81.45044399999999,"5132 W Colonial Dr, Orlando, FL 32808, USA",ROOFTOP
2,1st Oriental Supermarket,2,"4703 Clarcona Ocoee Rd Orlando,",FL,32810,(407) 292-3965,28.6130087,-81.43873560000002,"4703 Clarcona Ocoee Rd, Orlando, FL 32810, USA",ROOFTOP
3,A & A Fine Foods,1,"191 Main St Lincoln Park,",NJ,07035,(973) 633-7878,40.9233389,-74.3058171,"191 Main St, Lincoln Park, NJ 07035, USA",ROOFTOP
4,A & G Fine Foods Incorporated,1,"400 Lincoln Blvd Middlesex,",NJ,08846,(732) 563-4001,40.567892,-74.500084,"400 Lincoln Blvd, Middlesex, NJ 08846, USA",ROOFTOP
5,A & P Food Stores,1,"767 Pine St Bristol,",CT,06010,(860) 582-6821,41.6704908,-72.8944769,"767 Pine St, Bristol, CT 06010, USA",ROOFTOP
6,A & P Food Stores,2,"207 Webster Square Rd Berlin,",CT,06037,(860) 828-7500,41.631075,-72.744996,"207 Webster Square Rd, Berlin, CT 06037, USA",ROOFTOP
7,A & P Food Stores,3,"Webster Sq Berlin,",CT,06037,(860) 828-7500,41.6287838,-72.74575639999999,"Webster Square Rd, Berlin, CT 06037, USA",GEOMETRIC_CENTER
8,A & P Food Stores,4,"175 Lowrey Pl Newington,",CT,06111,(860) 666-1168,41.6947643,-72.71904479999999,"175 Lowrey Pl, Newington, CT 06111, USA",ROOFTOP
9,A & P Food Stores,5,"90 Halls Rd Old Lyme,",CT,06371,(860) 434-1433,41.3221932,-72.33802159999999,"90 Halls Rd, Old Lyme, CT 06371, USA",ROOFTOP
10,A & P Food Stores,6,"179 Stonington Rd Pawcatuck,",CT,06379,(860) 536-5813,41.4011346,-71.9505954,"179 N Stonington Rd, Pawcatuck, CT 06379, USA",RANGE_INTERPOLATED
11,A & P Food Stores,7,"1060 W Main St Branford,",CT,06405,(203) 481-9671,41.2737671,-72.8322771,"1060 W Main St, Branford, CT 06405, USA",ROOFTOP
12,A & P Food Stores,8,"820 Washington St Middletown,",CT,06457,(860) 347-5378,41.5562731,-72.680989,"820 Washington St, Middletown, CT 06457, USA",ROOFTOP
13,A & P Food Stores,9,"745 Foxon Rd New Haven,",CT,06513,(203) 467-8580,41.323491,-72.85488269999999,"745 Foxon Rd, East Haven, CT 06513, USA",ROOFTOP
14,A & P Food Stores,10,"1700 Park Ave Bridgeport,",CT,06604,(203) 368-1694,41.1827669,-73.2056502,"1700 Park Ave, Bridgeport, CT 06604, USA",ROOFTOP
15,A & P Food Stores,11,"799 New Haven Rd Naugatuck,",CT,06770,(203) 729-1560,41.4726885,-73.04296699999999,"799 New Haven Rd, Naugatuck, CT 06770, USA",ROOFTOP
16,A & P Food Stores,12,"35 Main St Danbury,",CT,06810,(203) 748-9122,41.3883932,-73.4464345,"35 Main St, Danbury, CT 06810, USA",ROOFTOP
17,A & P Food Stores,13,"1 Padanaram Rd Danbury,",CT,06811,(203) 791-2264,41.4128438,-73.4564942,"1 Padanaram Rd, Danbury, CT 06811, USA",ROOFTOP
18,A & P Food Stores,14,"42 Danbury Rd Ridgefield,",CT,06877,(203) 431-0432,41.2902039,-73.49697499999999,"42 Danbury Rd, Ridgefield, CT 06877, USA",ROOFTOP
19,A & P Food Stores,15,"1201 High Ridge Rd Stamford,",CT,06905,(203) 968-0350,41.1098305,-73.5463323,"1201 High Ridge Rd, Stamford, CT 06905, USA",ROOFTOP
